doi,affiliations_raw,extracted_institutions
10.26599/JAC.2025.9221183,"1Institute for Advanced Ceramics, School of Materials Science and Engineering, Harbin Institute of Technology, Harbin 150080, China; 2Chongqing Research Institute, Harbin Institute of Technology, Chongqing 401135, China",Harbin Institute of Technology
10.26599/JAC.2025.9221185,"1School of Materials Science and Engineering, Shanghai University, Shanghai 200444, China; 2State Key Laboratory of High Performance Ceramics and Superfine Microstructure, Shanghai Institute of Ceramics, Chinese Academy of Sciences, Shanghai 201899, China",Shanghai University; Chinese Academy of Sciences
10.26599/JAC.2025.9221186,"1State Key Laboratory for Mechanical Behavior of Materials, School of Materials Science and Engineering, Xi’an Jiaotong University, Xi’an 710049, China; 2Guangdong Provisional Key Laboratory of Functional Oxide Materials and Devices, Southern University of Science and Technology, Shenzhen 518055, China; 3School of Energy and Power Engineering, Xi’an Jiaotong University, Xi’an 710049, China; 4Department of Materials Science and Engineering & Shenzhen Engineering Research Center for Novel Electronic Information Materials and Devices, Southern University of Science and Technology, Shenzhen 518055",Xi’an Jiaotong University; Southern University of Science and Technology
10.26599/JAC.2025.9221188,"1Key Laboratory for Liquid‒Solid Structural Evolution and Processing of Materials (Ministry of Education), Shandong University, Jinan 250061, China; 2School of Materials Science and Engineering, Zhengzhou University, Zhengzhou 450001, China",Shandong University; Zhengzhou University
10.26599/JAC.2025.9221189,"1College of Operational Support, Rocket Force University of Engineering, Xi’an 710025, China; 2State Key Laboratory of Solidification Processing, School of Material Science and Engineering, Northwestern Polytechnical University, Xi’an 710072, China; 3College of Material Science and Engineering, Zhengzhou University, Zhengzhou 450001, China",Rocket Force University of Engineering; Northwestern Polytechnical University; Zhengzhou University
10.26599/JAC.2025.9221190,"School of Materials, Shenzhen Campus of Sun Yat-sen University, Shenzhen 518107, China",Shenzhen Campus of Sun Yat-sen University
10.26599/JAC.2025.9221184,"State Key Lab of New Ceramic Materials, School of Materials Science and Engineering, Tsinghua University, Beijing 100084, China",Tsinghua University
10.26599/JAC.2025.9221193,"1School of Materials Science and Engineering, Zhengzhou University, Zhengzhou 450001, China; 2National Key Laboratory of Science and Technology on Advanced Composites in Special Environments, Center for Composite Materials and Structures, Harbin Institute of Technology, Harbin 150001, China; 3Suzhou National Laboratory, Suzhou 215000, China",Zhengzhou University; Harbin Institute of Technology; Suzhou National Laboratory
10.26599/JAC.2025.9221215,"1School of Materials Science and Engineering, Zhengzhou University, Zhengzhou 450001, China; 2Jiangxi Key Laboratory of Advanced Ceramic Materials, School of Materials Science and Engineering, Jingdezhen Ceramic University, Jingdezhen 333403, China; 3Science and Technology on Thermostructural Composite Materials Laboratory, Northwestern Polytechnical University, Xi’an 710072, China; 4School of Materials Science and Engineering, Harbin Institute of Technology, Harbin 150001, China",Zhengzhou University; Jingdezhen Ceramic University; Northwestern Polytechnical University; Harbin Institute of Technology
10.26599/JAC.2025.9221194,"1State Key Laboratory of Structural Analysis Optimization and CAE Software for Industrial Equipment, National Engineering Research Center for Advanced Polymer Processing Technology, Zhengzhou University, Zhengzhou 450002, China; 2College of Material Science and Engineering, Zhengzhou University, Zhengzhou 450001, China; 3State Key Laboratory of Solidification Processing, School of Material Science and Engineering, Northwestern Polytechnical University, Xi’an 710072, China",Zhengzhou University; Northwestern Polytechnical University
10.26599/JAC.2025.9221205,"Key Laboratory of Advanced Technologies of Materials (Ministry of Education), School of Materials Science and Engineering, Southwest Jiaotong University, Chengdu 610031, China",Southwest Jiaotong University
10.26599/JAC.2025.9221150,"1School of Materials Science and Engineering, Harbin Institute of Technology Weihai, Weihai 264009, China; 2State Key Laboratory of Precision Welding & Joining of Materials and Structures, Harbin Institute of Technology, Harbin 150001, China; 3School of Materials Science and Engineering, Harbin Institute of Technology, Harbin 150001, China; 4MIIT Key Laboratory of Advanced Structural-Functional Integration Materials & Green Manufacturing Technology, Harbin Institute of Technology, Harbin 150001, China",Harbin Institute of Technology Weihai; Harbin Institute of Technology
10.26599/JAC.2025.9221163,"1School of Materials Science and Engineering, Yancheng Institute of Technology, Yancheng 224051, China; 2College of Environment and Chemical Engineering, Nanchang Hangkong University, Nanchang 330063, China; 3School of Materials Science and Engineering, Guilin University of Electronic Technology, Guilin 541004, China",Yancheng Institute of Technology; Nanchang Hangkong University; Guilin University of Electronic Technology
10.26599/JAC.2025.9221164,"Jiangxi Key Laboratory of Advanced Ceramic Materials, School of Materials Science and Engineering, Jingdezhen Ceramic University, Jingdezhen 333403, China",Jingdezhen Ceramic University
10.26599/JAC.2025.9221172,"1Tianmushan Laboratory, Beihang University, Hangzhou 311115, China; 2School of Materials Science and Engineering, Beihang University, Beijing 100191, China; 3Shenyang Aircraft Design and Research Institute, Aviation Industry Corporation of China, Shenyang 110035, China",Beihang University; Aviation Industry Corporation of China
10.26599/JAC.2025.9221177,"School of Physics and Materials Science, Guangzhou University, Guangzhou 510006, China; † Saidi Wang and Yimin Ouyang contributed equally to this work.",Guangzhou University
10.26599/JAC.2025.9221187,"School of Chemistry and Materials Science, Jiangsu Key Laboratory of New Energy Devices and Interface Science, Nanjing University of Information Science & Technology, Nanjing 210044, China",Nanjing University of Information Science & Technology
10.26599/JAC.2025.9221191,"1College of Materials Science and Technology, Nanjing University of Aeronautics and Astronautics, Nanjing 211100, China; 2Beijing Xinghang Electromechanical Equipment Co., Ltd., Beijing 100074, China","Nanjing University of Aeronautics and Astronautics; Beijing Xinghang Electromechanical Equipment Co., Ltd."
10.26599/JAC.2025.9221200,"1Laboratory of Advanced Materials, Shanghai Key Lab of Molecular Catalysis and Innovative Materials, State Key Laboratory of Coatings for Advanced Equipment, College of Smart Materials and Future Energy, Fudan University, Shanghai 200438, China; 2School of Materials Science and Engineering, Tongji University, Shanghai 201804, China; 3Department of Chemistry, Fudan University, Shanghai 200438, China; 4Institute of Solar Energy, Shanghai University of Electric Power, Shanghai 200090, China",Fudan University; Tongji University; Shanghai University of Electric Power
10.26599/JAC.2025.9221202,"School of Materials Science and Engineering, Harbin Institute of Technology (Weihai), Weihai 264209, China",Harbin Institute of Technology (Weihai)
10.26599/JAC.2025.9221208,"1State Key Laboratory of Solid Lubrication, Lanzhou Institute of Chemical Physics, Chinese Academy of Sciences, Lanzhou 730000, China; 2Shandong Laboratory of Advanced Materials and Green Manufacturing at Yantai, Yantai 264006, China; 3Center of Materials Science and Optoelectronics Engineering, University of Chinese Academy of Sciences, Beijing 100049, China; 4School of Materials Science and Engineering, Harbin Institute of Technology at Weihai, Weihai 264209, China; 5Guangxi Key Laboratory of Optical and Electronic Material and Devices, School of Materials Science and Engineering, Guilin Uni",Chinese Academy of Sciences; Shandong Laboratory of Advanced Materials and Green Manufacturing at Yantai; University of Chinese Academy of Sciences; Harbin Institute of Technology at Weihai; Guilin Uni
10.26599/JAC.2025.9221209,"1State Key Laboratory of Tropic Ocean Engineering Materials and Materials Evaluation, School of Materials Science and Engineering, Beihang University, Beijing 100191, China; 2Tianmushan Laboratory, Hangzhou 310023, China; † Zhenrong Cui and Xufeng Li contributed equally to this work.",Beihang University; Tianmushan Laboratory
10.26599/JAC.2025.9221210,"1School of Chemistry and Chemical Engineering, Northwestern Polytechnical University, Xi’an 710129, China; 2School of Marine Science and Technology, Northwestern Polytechnical University, Xi’an 710072, China; 3School of Electrical Engineering, Xi’an University of Technology, Xi’an 710048, China; † Qianqian Wu and Zhonglei Ma contributed equally to this work.",Northwestern Polytechnical University; Xi’an University of Technology
10.26599/JAC.2025.9221211,"1School of Physics and Optoelectronic Engineering, Beijing University of Technology, Beijing 100124, China; 2College of Mathematics and Physics, Beijing University of Chemical Technology, Beijing 100029, China; 3501 Department, Xi’an Research Institute of High-Tech, Xi’an 710025, China; 4Security precautions department, Zhejiang Police Vocational Academy, Hangzhou 310018, China",Beijing University of Technology; Beijing University of Chemical Technology; Xi’an Research Institute of High-Tech; Zhejiang Police Vocational Academy
10.26599/JAC.2025.9221212,"1MIIT Key Laboratory of Critical Materials Technology for New Energy Conversion and Storage, School of Chemistry and Chemical Engineering, Harbin Institute of Technology, Harbin 150001, China; 2Henan Key Laboratory of High Performance Carbon Fiber Reinforced Composites, Institute of Carbon Matrix Composites, Henan Academy of Sciences, Zhengzhou 450046, China",Harbin Institute of Technology; Henan Academy of Sciences
10.26599/JAC.2025.9221213,"1MOE Key Lab of Materials Physics and Chemistry in Extraordinary Conditions and Shaanxi Key Laboratory of Macromolecular Science and Technology, School of Chemistry and Chemical Engineering, Northwestern Polytechnical University, Xi’an 710072, China; 2Ningbo Institute of Northwestern Polytechnical University, Ningbo 315103, China",Northwestern Polytechnical University; Ningbo Institute of Northwestern Polytechnical University
10.26599/JAC.2025.9221214,"1School of Materials Science and Chemical Engineering, Xi’an Technological University, Xi’an 710021, China; 2The First Representative Office Stationed in Beijing of KJDS, Beijing 100854, China; 3Hubei Sanjiang Aerospace Hongyang Electromechanical Co., Ltd., Xiaogan 432000, China; 4Institute of Optoelectronics, Fudan University, Shanghai 200433, China; 5National Key Laboratory of Scattering and Radiation, Beijing 100854, China; 6School of Electronic Science & Engineering, Nanjing University, Nanjing 210023, China; 7School of Materials Science and Engineering, Shaanxi University of Science and T","Xi’an Technological University; The First Representative Office Stationed in Beijing of KJDS; Hubei Sanjiang Aerospace Hongyang Electromechanical Co., Ltd.; Fudan University; National Key Laboratory of Scattering and Radiation; Nanjing University; Shaanxi University of Science and T"
10.26599/JAC.2025.9221152,"1School of Materials Science and Engineering, Shanghai University, Shanghai 200444, China; 2Baowu Clean Energy Co., Ltd., Shanghai 201900, China; 3School of Materials Science and Engineering, University of New South Wales, New South Wales 2052, Australia; 4School of Chemical Engineering, University of New South Wales, New South Wales 2052, Australia; 5Australian Research Council Centre of Excellence for Carbon Science and Innovation, University of New South Wales, New South Wales 2052, Australia","Shanghai University; Baowu Clean Energy Co., Ltd.; University of New South Wales"
10.26599/JAC.2025.9221151,"1State Key Laboratory of Powder Metallurgy, Central South University, Changsha 410083, China; 2Hunan Jinyu Advanced Materials Co., Ltd., Changsha 410200, China","Central South University; Hunan Jinyu Advanced Materials Co., Ltd."
10.26599/JAC.2025.9221153,"1Key Laboratory of Functional Materials and Devices for Special Environmental Conditions (Chinese Academy of Sciences), Xinjiang Key Laboratory of Electronic Information Materials and Devices, Xinjiang Technical Institute of Physics & Chemistry, Chinese Academy of Sciences, Urumqi 830011, China; 2Center of Materials Science and Optoelectronics Engineering, University of Chinese Academy of Sciences, Beijing 100049, China; † Wenyuan Li and Yue Xian contributed equally to this work.",Chinese Academy of Sciences; University of Chinese Academy of Sciences
10.26599/JAC.2025.9221154,"1National Key Laboratory of Science and Technology on Advanced Composites in Special Environments, Center for Composite Materials and Structures, Harbin Institute of Technology, Harbin 150001, China; 2School of Materials Science and Engineering, University of Jinan, Jinan 250022, China; 3National Key Laboratory for Remanufacturing, Army Academy of Armored Forces, Beijing 100072, China; 4School of Material Science and Engineering, Harbin Institute of Technology, Harbin 150001, China; 5MIIT Key Laboratory of Aerospace Bearing Technology and Equipment, Harbin Institute of Technology, Harbin 15000",Harbin Institute of Technology; University of Jinan; Army Academy of Armored Forces
10.26599/JAC.2025.9221155,"1School of Materials Science and Engineering, Shandong University of Technology, Zibo 255049, China; 2Key Laboratory of Special Functional Aggregated Materials, Ministry of Education, Shandong University, Jinan 250061, China; 3Department of Industrial Engineering, University of Padova, Padua 35131, Italy; 4Department of Materials Science and Engineering, Pennsylvania State University, University Park 16802, USA",Shandong University of Technology; Shandong University; University of Padova; Pennsylvania State University
10.26599/JAC.2025.9221156,"1State Key Laboratory of High Performance Ceramics, Shanghai Institute of Ceramics, Chinese Academy of Sciences, Shanghai 201899, China.; 2Center of Materials Science and Optoelectronics Engineering, University of Chinese Academy of Sciences, Beijing 100049, China; 3College of Materials Science and Engineering, Luoyang Institute of Technology, Luoyang 471023, China; 4Department of Physics, Faculty of Science, King Mongkut's University of Technology Thonburi, Bangkok 10140, Thailand",China.; University of Chinese Academy of Sciences; Luoyang Institute of Technology; King Mongkut's University of Technology Thonburi
10.26599/JAC.2025.9221157,"1Key Laboratory of Interface Science and Engineering in Advanced Materials, Taiyuan University of Technology, Taiyuan 030024, China; 2College of Materials Science and Engineering, Taiyuan University of Technology, Taiyuan 030024, China; 3Sci-Tech Information and Strategic Research Center of Shanxi Province, Taiyuan 030027, China",Taiyuan University of Technology; Sci-Tech Information and Strategic Research Center of Shanxi Province
10.26599/JAC.2025.9221158,"1Institute of Light+X Science and Technology, College of Information Science and Engineering, Ningbo University, Ningbo 315211, China; 2College of Optical Science and Engineering, Zhejiang University, Hangzhou 310027, China",Ningbo University; Zhejiang University
10.26599/JAC.2025.9221159,"State Key Laboratory of Solidification Processing, School of Materials Science and Engineering, Northwestern Polytechnical University, Xi’an 710072, China",Northwestern Polytechnical University
10.26599/JAC.2025.9221160,"1College of Big Data and Information Engineering, Guizhou University, Guiyang 550025, China; 2School of Optical and Electronic Information, Huazhong University of Science and Technology, Wuhan 430074, China; 3Guiyang Vocational and Technical College, Guiyang 550081, China; 4College of Materials and Metallurgy, Guizhou University, Guiyang 550025, China; 5College of Materials Science and Engineering, Guilin University of Technology, Guilin 541004, China; 6Wenzhou Institute of Advanced Manufacturing Technology, Wenzhou 325000, China; 7School of Instrumentation Science and Engineering, Harbin Inst",Guizhou University; Huazhong University of Science and Technology; Guiyang Vocational and Technical College; Guilin University of Technology; Wenzhou Institute of Advanced Manufacturing Technology; Harbin Inst
10.26599/JAC.2025.9221161,"1Shanghai Institute of Ceramics, Chinese Academy of Sciences, Shanghai 200050, China; 2Center of Materials Science and Optoelectronics Engineering, University of Chinese Academy of Sciences, Beijing 100049, China",Chinese Academy of Sciences; University of Chinese Academy of Sciences
10.26599/JAC.2025.9221162,"1National Key Laboratory of Science and Technology on Advanced Composites in Special Environments, and Center for Composite Materials and Structures, Harbin Institute of Technology, Harbin 150080, China; 2Beijing Power Machinery Institute, HIWING Technology Academy of China Aerospace Science and Industry Corporation, Beijing 100074, China",Harbin Institute of Technology; HIWING Technology Academy of China Aerospace Science and Industry Corporation
10.26599/JAC.2025.9221165,"1School of Materials Science and Engineering, Yancheng Institute of Technology, Yancheng 224051, China; 2School of Resource Environment and Safety Engineering, University of South China, Hengyang 421001, China",Yancheng Institute of Technology; University of South China
