doi,title,affiliations_raw
10.26599/JAC.2025.9221184,Revisiting 1 GPa alumina ceramics,"State Key Lab of New Ceramic Materials, School of Materials Science and Engineering, Tsinghua University, Beijing 100084, China"
10.26599/JAC.2025.9221193,Breaking the 3000 °C melting temperature barrier of oxide ceramics,"1School of Materials Science and Engineering, Zhengzhou University, Zhengzhou 450001, China; 2National Key Laboratory of Science and Technology on Advanced Composites in Special Environments, Center for Composite Materials and Structures, Harbin Institute of Technology, Harbin 150001, China; 3Suzhou National Laboratory, Suzhou 215000, China"
10.26599/JAC.2025.9221215,Editorial for the Special Issue on Frontiers in Advanced Ceramic Materials for Microwave Absorption,"1School of Materials Science and Engineering, Zhengzhou University, Zhengzhou 450001, China; 2Jiangxi Key Laboratory of Advanced Ceramic Materials, School of Materials Science and Engineering, Jingdezhen Ceramic University, Jingdezhen 333403, China; 3Science and Technology on Thermostructural Composite Materials Laboratory, Northwestern Polytechnical University, Xi’an 710072, China; 4School of Materials Science and Engineering, Harbin Institute of Technology, Harbin 150001, China"
10.26599/JAC.2025.9221194,"Ceramic-based electromagnetic interference shielding materials: Mechanisms, optimization strategies, and pathways to next-generation applications","1State Key Laboratory of Structural Analysis Optimization and CAE Software for Industrial Equipment, National Engineering Research Center for Advanced Polymer Processing Technology, Zhengzhou University, Zhengzhou 450002, China; 2College of Material Science and Engineering, Zhengzhou University, Zhengzhou 450001, China; 3State Key Laboratory of Solidification Processing, School of Material Science and Engineering, Northwestern Polytechnical University, Xi’an 710072, China"
10.26599/JAC.2025.9221205,Recent advances in structural engineering of ceramic microwave absorption materials: From nano/micro architectures to macroscale design,"Key Laboratory of Advanced Technologies of Materials (Ministry of Education), School of Materials Science and Engineering, Southwest Jiaotong University, Chengdu 610031, China"
10.26599/JAC.2025.9221150,Interface-engineered decoupled conductivity and relaxation: Synergistic modulation of Debye-parameters in N-doped SiO2/MXene broadband wave-absorbing materials,"1School of Materials Science and Engineering, Harbin Institute of Technology Weihai, Weihai 264009, China; 2State Key Laboratory of Precision Welding & Joining of Materials and Structures, Harbin Institute of Technology, Harbin 150001, China; 3School of Materials Science and Engineering, Harbin Institute of Technology, Harbin 150001, China; 4MIIT Key Laboratory of Advanced Structural-Functional Integration Materials & Green Manufacturing Technology, Harbin Institute of Technology, Harbin 150001, China"
10.26599/JAC.2025.9221163,Electromagnetic collaborative optimization of DyFe-MOFs derivatives for ultra-thin electromagnetic wave absorption,"1School of Materials Science and Engineering, Yancheng Institute of Technology, Yancheng 224051, China; 2College of Environment and Chemical Engineering, Nanchang Hangkong University, Nanchang 330063, China; 3School of Materials Science and Engineering, Guilin University of Electronic Technology, Guilin 541004, China"
10.26599/JAC.2025.9221164,Transition/rare earth metal co-modified SiC for low-frequency and high-temperature electromagnetic response,"Jiangxi Key Laboratory of Advanced Ceramic Materials, School of Materials Science and Engineering, Jingdezhen Ceramic University, Jingdezhen 333403, China"
10.26599/JAC.2025.9221172,Intelligent design of multifunctional graphene-based aerogels for ultra-broadband microwave absorption,"1Tianmushan Laboratory, Beihang University, Hangzhou 311115, China; 2School of Materials Science and Engineering, Beihang University, Beijing 100191, China; 3Shenyang Aircraft Design and Research Institute, Aviation Industry Corporation of China, Shenyang 110035, China"
10.26599/JAC.2025.9221177,Boosting microwave attenuation in high-entropy carbide ceramics via magnetic Co incorporation and microstructural engineering,"School of Physics and Materials Science, Guangzhou University, Guangzhou 510006, China; † Saidi Wang and Yimin Ouyang contributed equally to this work."
10.26599/JAC.2025.9221187,Hierarchical interface-engineered magnetic graphene‒SiCN aerogels via a stepwise confinement strategy for low-frequency and broadband microwave absorption,"School of Chemistry and Materials Science, Jiangsu Key Laboratory of New Energy Devices and Interface Science, Nanjing University of Information Science & Technology, Nanjing 210044, China"
10.26599/JAC.2025.9221191,Electronic structure and absorption mechanism of Fe-doped Y0.9Sr0.1CoO3 perovskite microwave absorbers,"1College of Materials Science and Technology, Nanjing University of Aeronautics and Astronautics, Nanjing 211100, China; 2Beijing Xinghang Electromechanical Equipment Co., Ltd., Beijing 100074, China"
10.26599/JAC.2025.9221200,Surface magnetic regulation in carbon microspheres induced by melamine to increase electromagnetic wave absorption,"1Laboratory of Advanced Materials, Shanghai Key Lab of Molecular Catalysis and Innovative Materials, State Key Laboratory of Coatings for Advanced Equipment, College of Smart Materials and Future Energy, Fudan University, Shanghai 200438, China; 2School of Materials Science and Engineering, Tongji University, Shanghai 201804, China; 3Department of Chemistry, Fudan University, Shanghai 200438, China; 4Institute of Solar Energy, Shanghai University of Electric Power, Shanghai 200090, China"
10.26599/JAC.2025.9221202,Vacancy-mediated electromagnetic loss tuning in Cr-doped lanthanum manganite perovskites for broadband and high-intensity microwave absorption,"School of Materials Science and Engineering, Harbin Institute of Technology (Weihai), Weihai 264209, China"
10.26599/JAC.2025.9221208,Liquid metal modified hexagonal boron nitride flakes for efficient electromagnetic wave absorption and thermal management,"1State Key Laboratory of Solid Lubrication, Lanzhou Institute of Chemical Physics, Chinese Academy of Sciences, Lanzhou 730000, China; 2Shandong Laboratory of Advanced Materials and Green Manufacturing at Yantai, Yantai 264006, China; 3Center of Materials Science and Optoelectronics Engineering, University of Chinese Academy of Sciences, Beijing 100049, China; 4School of Materials Science and Engineering, Harbin Institute of Technology at Weihai, Weihai 264209, China; 5Guangxi Key Laboratory of Optical and Electronic Material and Devices, School of Materials Science and Engineering, Guilin Uni"
10.26599/JAC.2025.9221209,Tailoring sulfur/nitrogen co-doping configuration in MXene nanoribbon/nanosheet composite for high-performance electromagnetic wave absorption,"1State Key Laboratory of Tropic Ocean Engineering Materials and Materials Evaluation, School of Materials Science and Engineering, Beihang University, Beijing 100191, China; 2Tianmushan Laboratory, Hangzhou 310023, China; † Zhenrong Cui and Xufeng Li contributed equally to this work."
10.26599/JAC.2025.9221210,Carbon nanofibers with small-sized Co nanoparticles and structural defects via a confined-coordination growth strategy toward electromagnetic wave absorption,"1School of Chemistry and Chemical Engineering, Northwestern Polytechnical University, Xi’an 710129, China; 2School of Marine Science and Technology, Northwestern Polytechnical University, Xi’an 710072, China; 3School of Electrical Engineering, Xi’an University of Technology, Xi’an 710048, China; † Qianqian Wu and Zhonglei Ma contributed equally to this work."
10.26599/JAC.2025.9221211,Multifunctional Bi2Se3 ceramic nanosheets compatible variable capacitor and tunable EMI shielding,"1School of Physics and Optoelectronic Engineering, Beijing University of Technology, Beijing 100124, China; 2College of Mathematics and Physics, Beijing University of Chemical Technology, Beijing 100029, China; 3501 Department, Xi’an Research Institute of High-Tech, Xi’an 710025, China; 4Security precautions department, Zhejiang Police Vocational Academy, Hangzhou 310018, China"
10.26599/JAC.2025.9221212,Engineering impedance-matched double-shells in hollow Co/carbon microspheres with gradient graphitization for high-efficiency electromagnetic wave absorption,"1MIIT Key Laboratory of Critical Materials Technology for New Energy Conversion and Storage, School of Chemistry and Chemical Engineering, Harbin Institute of Technology, Harbin 150001, China; 2Henan Key Laboratory of High Performance Carbon Fiber Reinforced Composites, Institute of Carbon Matrix Composites, Henan Academy of Sciences, Zhengzhou 450046, China"
10.26599/JAC.2025.9221213,Hierarchical SiBCNFe composite ceramics enabling broadband electromagnetic wave absorption and corrosion resistance,"1MOE Key Lab of Materials Physics and Chemistry in Extraordinary Conditions and Shaanxi Key Laboratory of Macromolecular Science and Technology, School of Chemistry and Chemical Engineering, Northwestern Polytechnical University, Xi’an 710072, China; 2Ningbo Institute of Northwestern Polytechnical University, Ningbo 315103, China"
10.26599/JAC.2025.9221214,Ordered cellular 2D/2D biomass-derived carbon nanosheet/MXene aerogels for ultralight and high-performance microwave absorption,"1School of Materials Science and Chemical Engineering, Xi’an Technological University, Xi’an 710021, China; 2The First Representative Office Stationed in Beijing of KJDS, Beijing 100854, China; 3Hubei Sanjiang Aerospace Hongyang Electromechanical Co., Ltd., Xiaogan 432000, China; 4Institute of Optoelectronics, Fudan University, Shanghai 200433, China; 5National Key Laboratory of Scattering and Radiation, Beijing 100854, China; 6School of Electronic Science & Engineering, Nanjing University, Nanjing 210023, China; 7School of Materials Science and Engineering, Shaanxi University of Science and T"
10.26599/JAC.2025.9221152,"Design strategies for high entropy materials in water electrolysis: Enhancing activity, stability, and reaction kinetics","1School of Materials Science and Engineering, Shanghai University, Shanghai 200444, China; 2Baowu Clean Energy Co., Ltd., Shanghai 201900, China; 3School of Materials Science and Engineering, University of New South Wales, New South Wales 2052, Australia; 4School of Chemical Engineering, University of New South Wales, New South Wales 2052, Australia; 5Australian Research Council Centre of Excellence for Carbon Science and Innovation, University of New South Wales, New South Wales 2052, Australia"
10.26599/JAC.2025.9221151,"Nature-inspired (Ti,Zr,Hf)C/SiC micro-nano composites with enhanced ablation resistance through a Gobi Desert-like protective oxide layer","1State Key Laboratory of Powder Metallurgy, Central South University, Changsha 410083, China; 2Hunan Jinyu Advanced Materials Co., Ltd., Changsha 410200, China"
10.26599/JAC.2025.9221153,Sc3+-modified Mg–Al–Mn–Fe–O spinel ceramics with co-enhanced microwave dielectric and thermosensitive properties for multifunctional applications,"1Key Laboratory of Functional Materials and Devices for Special Environmental Conditions (Chinese Academy of Sciences), Xinjiang Key Laboratory of Electronic Information Materials and Devices, Xinjiang Technical Institute of Physics & Chemistry, Chinese Academy of Sciences, Urumqi 830011, China; 2Center of Materials Science and Optoelectronics Engineering, University of Chinese Academy of Sciences, Beijing 100049, China; † Wenyuan Li and Yue Xian contributed equally to this work."
10.26599/JAC.2025.9221154,Plasma-sprayed Al2O3–ZrO2 composite coatings with nano-eutectic structures for wear protection: A novel strategy based on feedstock powder design,"1National Key Laboratory of Science and Technology on Advanced Composites in Special Environments, Center for Composite Materials and Structures, Harbin Institute of Technology, Harbin 150001, China; 2School of Materials Science and Engineering, University of Jinan, Jinan 250022, China; 3National Key Laboratory for Remanufacturing, Army Academy of Armored Forces, Beijing 100072, China; 4School of Material Science and Engineering, Harbin Institute of Technology, Harbin 150001, China; 5MIIT Key Laboratory of Aerospace Bearing Technology and Equipment, Harbin Institute of Technology, Harbin 15000"
10.26599/JAC.2025.9221155,Integrated design of multifunctional paraffin-impregnated porous ceramic metastructures for electromagnetic wave absorption and thermal management,"1School of Materials Science and Engineering, Shandong University of Technology, Zibo 255049, China; 2Key Laboratory of Special Functional Aggregated Materials, Ministry of Education, Shandong University, Jinan 250061, China; 3Department of Industrial Engineering, University of Padova, Padua 35131, Italy; 4Department of Materials Science and Engineering, Pennsylvania State University, University Park 16802, USA"
10.26599/JAC.2025.9221156,Pore-coexisting BaAl2O4–LuAG:Ce composite phosphor ceramics for solid-state lighting,"1State Key Laboratory of High Performance Ceramics, Shanghai Institute of Ceramics, Chinese Academy of Sciences, Shanghai 201899, China.; 2Center of Materials Science and Optoelectronics Engineering, University of Chinese Academy of Sciences, Beijing 100049, China; 3College of Materials Science and Engineering, Luoyang Institute of Technology, Luoyang 471023, China; 4Department of Physics, Faculty of Science, King Mongkut's University of Technology Thonburi, Bangkok 10140, Thailand"
10.26599/JAC.2025.9221157,Synergistic effect of sulfur atoms and ordered oxygen vacancies to enhance Fe2O3 bifunctional electrocatalytic water splitting activity,"1Key Laboratory of Interface Science and Engineering in Advanced Materials, Taiyuan University of Technology, Taiyuan 030024, China; 2College of Materials Science and Engineering, Taiyuan University of Technology, Taiyuan 030024, China; 3Sci-Tech Information and Strategic Research Center of Shanxi Province, Taiyuan 030027, China"
10.26599/JAC.2025.9221158,"Glass-crystallized far-red-emitting ceramics for high-power, spectrally matched plant-growth light sources","1Institute of Light+X Science and Technology, College of Information Science and Engineering, Ningbo University, Ningbo 315211, China; 2College of Optical Science and Engineering, Zhejiang University, Hangzhou 310027, China"
10.26599/JAC.2025.9221159,Machine learning-guided discovery of stable low-work-function perovskite oxides for advanced catalysis and energy technologies,"State Key Laboratory of Solidification Processing, School of Materials Science and Engineering, Northwestern Polytechnical University, Xi’an 710072, China"
10.26599/JAC.2025.9221160,Negligible-hysteresis piezoceramic achieved by multiphase assisting and domain configuration manipulating,"1College of Big Data and Information Engineering, Guizhou University, Guiyang 550025, China; 2School of Optical and Electronic Information, Huazhong University of Science and Technology, Wuhan 430074, China; 3Guiyang Vocational and Technical College, Guiyang 550081, China; 4College of Materials and Metallurgy, Guizhou University, Guiyang 550025, China; 5College of Materials Science and Engineering, Guilin University of Technology, Guilin 541004, China; 6Wenzhou Institute of Advanced Manufacturing Technology, Wenzhou 325000, China; 7School of Instrumentation Science and Engineering, Harbin Inst"
10.26599/JAC.2025.9221161,Modified low molecular weight polyacrylic acid as a dispersant for spontaneous coagulation casting of alumina ceramics,"1Shanghai Institute of Ceramics, Chinese Academy of Sciences, Shanghai 200050, China; 2Center of Materials Science and Optoelectronics Engineering, University of Chinese Academy of Sciences, Beijing 100049, China"
10.26599/JAC.2025.9221162,A scalable method allows for the rapid fabrication of C/SiC composites with excellent mechanical properties and ablation resistance,"1National Key Laboratory of Science and Technology on Advanced Composites in Special Environments, and Center for Composite Materials and Structures, Harbin Institute of Technology, Harbin 150080, China; 2Beijing Power Machinery Institute, HIWING Technology Academy of China Aerospace Science and Industry Corporation, Beijing 100074, China"
10.26599/JAC.2025.9221165,Multi-element doped SrFeO3-based cathodes with balanced thermal expansion for proton-conducting solid oxide fuel cells,"1School of Materials Science and Engineering, Yancheng Institute of Technology, Yancheng 224051, China; 2School of Resource Environment and Safety Engineering, University of South China, Hengyang 421001, China"
10.26599/JAC.2025.9221167,Ultra-high energy harvester performance in KNN-based textured piezoceramics via multiscale reconfiguration design,"Key Laboratory of Advanced Civil Engineering Materials of Ministry of Education, Functional Materials Research Laboratory, School of Materials Science and Engineering, Tongji University, Shanghai 201804, China"
10.26599/JAC.2025.9221168,Rational high-entropy doping strategy via modular in situ/post solvothermal doping integration for microwave absorption,"1National Key Laboratory of Precision Welding and Joining of Materials and Structures, Harbin Institute of Technology, Harbin 150001, China; 2School of Materials Science and Engineering, Harbin Institute of Technology, Harbin 150001, China; 3MIIT Key Laboratory of Advanced Structural-Functional Integration Materials & Green Manufacturing Technology, Harbin Institute of Technology, Harbin 150001, China"
10.26599/JAC.2025.9221169,Glass network engineering of yellow-emitting Ba2Sc2B4O11:Ce3+ glass ceramics for full-spectrum lighting,"1College of Physics and Energy, Fujian Provincial Key Laboratory of Quantum Manipulation and New Energy Materials, Fujian Normal University, Fuzhou 350117, China; 2College of Materials & Environmental Engineering, Hangzhou Dianzi University, Hangzhou 310018, China; 3Huzhou Key Laboratory of Materials for Energy Conversion and Storage, College of Science, Huzhou University, Huzhou 313000, China; 4School of Chemistry and Chemical Engineering, Key Laboratory of Theoretical Organic Chemistry and Functional Molecule of Ministry of Education, Hunan University of Science and Technology, Xiangtan 4112"
10.26599/JAC.2025.9221170,Stabilization mechanism of antiferroelectric Pnma phase and low-field reversible phase transition in sodium niobate-based ceramics,"1Multifunctional Electronic Ceramics Laboratory, College of Engineering, Xi’an International University, Xi’an 710077, China; 2School of Materials Science and Engineering, Shaanxi Key Laboratory of Green Preparation and Functionalization for Inorganic Materials, Shaanxi University of Science and Technology, Xi’an 710021, China; 3Department of Materials and Earth Sciences, Technical University of Darmstadt, Darmstadt 64287, Germany"
10.26599/JAC.2025.9221166,The onset mechanism of flash sintering in Al2O3–8YSZ composites,"1School of Materials Science and Engineering, Southwest Jiaotong University, Chengdu 610031, China; 2School of Mechanics and Aerospace Engineering, Southwest Jiaotong University, Chengdu 611756, China; 3Sichuan Province Key Laboratory of Advanced Structural Materials Mechanical Behavior and Service Safety, Southwest Jiaotong University, Chengdu 611756, China; 4State Key Laboratory of Solidification Processing, Northwestern Polytechnical University, Xi’an 710072, China; 5Institute of Advanced Structure Technology, Beijing Institute of Technology, Beijing 100081, China"
10.26599/JAC.2025.9221132,A novel highly porous dual-phase high-entropy ultrahigh-temperature ceramic with outstanding properties,"1Shenyang National Laboratory for Materials Science, Institute of Metal Research, Chinese Academy of Sciences, Shenyang 110016, China; 2School of Materials Science and Engineering, University of Science and Technology of China, Hefei 230026, China"
10.26599/JAC.2025.9221133,Densification of water-insoluble Li2TiO3 nanoceramics via a cold sintering process using water as a transient liquid phase,"1School of Mechanical Engineering, Chengdu University, Chengdu 610064, China; 2Institute for Advanced Study, Chengdu University, Chengdu 610106, China; 3College of Physics, Sichuan University, Chengdu 610064, China; 4Taihang National Laboratory, Chengdu 610213, China"
10.26599/JAC.2025.9221134,Mechanism-driven strengthening of MAX phase ceramics by Ti3C2Tx MXene: A comparative study on Cr2AlC and Ta2AlC,"1Department of Engineering Mechanics, College of Mechanics and Engineering Science, Hohai University, Nanjing 211100, China; 2School of Materials Science and Engineering, Southeast University, Nanjing 211189, China; 3College of Materials Science and Engineering, Hohai University, Nanjing 210098, China"
10.26599/JAC.2025.9221135,Multi-heterointerface lightweight ceramics achieving temperature-insensitive dielectric properties for high-temperature electromagnetic wave effective absorption,"1Zhijian Laboratory, Rocket Force University of Engineering, Xi’an 710025, China; 2State Key Laboratory of Solidification Processing, School of Material Science and Engineering, Northwestern Polytechnical University, Xi’an 710072, China"
10.26599/JAC.2025.9221136,Low loss and temperature-stable Y3MgAl3GeO12 microwave dielectric ceramics for X-band applications,"1Key Laboratory of New Processing Technology for Nonferrous Metal and Materials, Ministry of Education, Guangxi Key Laboratory of Optical and Electronic Materials and Devices, School of Materials Science and Engineering, Guilin University of Technology, Guilin 541004, China; 2Key Laboratory of Multifunctional Materials and Structures, Ministry of Education, School of Electronic Science and Engineering, Xi’an Jiaotong University, Xi’an 710049, China"
10.26599/JAC.2025.9221137,Core-cladding-like phosphor ceramic wafer: A path to ultrahigh luminance,"1Fujian Provincial Key Laboratory of Surface and Interface Engineering for High Performance Materials, Xiamen University, Xiamen 361005, China; 2State Key Laboratory of Physical Chemistry of Solid Surfaces, Xiamen University, Xiamen 361005, China; † Yifeng Lai and Jiaochun Zheng contributed equally to this work."
10.26599/JAC.2025.9221138,Investigation of the effects of heteroatom doping on von-Alpen-type NASICON electrolytes and its applications to solid-state sodium batteries,"1Emerging Materials R & D Division, Korea Institute of Ceramic Engineering and Technology (KICET), Jinju 52851, Republic of Korea; 2Department of Materials Science and Engineering, Korea University, Seoul 02841, Republic of Korea; 3Department of Materials Science and Engineering, Ajou University, Suwon 16499, Republic of Korea; 4Department of Energy Systems Research, Ajou University, Suwon 16499, Republic of Korea; † Gunhee Park and Dong Won Jeon contributed equally to this work."
10.26599/JAC.2025.9221139,Design and evaluation of multilayer Yb4Hf3O12-based T/EBCs with enhanced thermal stability for high-temperature applications,"1Key Laboratory of Inorganic Coating Materials CAS, Shanghai Institute of Ceramics, Chinese Academy of Sciences, Shanghai 200050, China; 2Center of Materials Science and Optoelectronics Engineering, University of Chinese Academy of Sciences, Beijing 100049, China"
10.26599/JAC.2025.9221140,Flashing digital light processing based functionally graded additive manufacturing of zirconia dental crowns with simultaneous color and translucency gradation,"1University of Science and Technology (UST), Daejeon 34113, Republic of Korea; 2Advanced Bio and Healthcare Materials Research Division, Korea Institute of Materials Science (KIMS), Changwon 51508, Republic of Korea"
10.26599/JAC.2025.9221141,Photoluminescence and optical temperature sensing properties of Gd3Al3Ga2O12:Pr3+ garnet transparent ceramics,"1School of Advanced Materials and Nanotechnology, Xidian University, Xi’an 710126, China; 2School of Materials Science and Engineering, Northwestern Polytechnical University, Xi’an 710072, China; 3Institute of Flexible Electronics (IFE), Northwestern Polytechnical University, Xi’an 710072, China"
10.26599/JAC.2025.9221142,Humidity-assisted scalable production of colossal crack-free ceramics for electromechanical applications,"1School of Engineering Science, Shandong Xiehe University, Jinan 250107, China; 2College of Physics and Information Engineering, Fuzhou University, Fuzhou 350116, China; † Yiping Bao and Jiachang Zhuang contributed equally to this work."
10.26599/JAC.2025.9221143,High-oxygen vacancy cerium catalysts with NiFe alloy heterostructures: A pathway for efficient and stable biomass ethanol fuel tubular solid oxide fuel cells,"1School of Materials Science and Physics, China University of Mining and Technology, Xuzhou 221116, China; 2School of Energy and Power Engineering, Jiangsu University of Science and Technology, Zhenjiang 212003, China; † Tian Li and Yujing Yang contributed equally to this work."
10.26599/JAC.2025.9221144,Construction of hydroxyapatite bioceramics with biomimetic structures by weak magnetic field-assisted 3D printing,"College of Mechanical and Electrical Engineering, Shaanxi University of Science and Technology, Xi’an 710021, China"
10.26599/JAC.2025.9221145,"Direct experimental validation on the crystal structure, chemical bonding, and magnetic properties of CrB2","School of Materials Science and Engineering, Zhengzhou University, Zhengzhou 450001, China"
10.26599/JAC.2025.9221146,Achieving ultra-low thermal expansion and excellent microwave dielectric properties in osumilite-type BaMg2Al6Si9−xGexO30 ceramics,"1School of Microelectronics, Wuhan Textile University, Wuhan 430200, China; 2Hubei Provincial Engineering Research Center for Wide-Bandgap Semiconductor Materials and Devices, Wuhan Textile University, Wuhan 430200, China; 3School of Electronic Information and Artificial Intelligence, Shaanxi University of Science and Technology, Xi’an 710021, China; 4School of Optical and Electronic Information, Key Lab of Functional Materials for Electronic Information (B) of MOE, Huazhong University of Science and Technology, Wuhan 430074, China; 5Wenzhou Advanced Manufacturing Institute, Zhejiang Key Lab o"
10.26599/JAC.2025.9221147,Consolidation of monolithic ceramics and metals via electric field-controlled sintering: Revealing athermal effects on microstructures and properties,"1State Key Laboratory of New Ceramic Materials, School of Materials Science and Engineering, Tsinghua University, Beijing 100084, China; 2Beijing Advanced Innovation Center for Materials Genome Engineering, Institute for Advanced Materials and Technology, University of Science and Technology Beijing, Beijing 100083, China"
